easting,northing,name,elevation
367622.63,8128196.42,Cairns,0
360245.11,8142280.78,Trinity Beach,0
386133.51,8131751.05,Cairns Headland,0
430250,8128812.23,Elford Reef,0
367771.61,8133933.82,Cairns Airport,0
