time,urs_e
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,0
3.8,0
3.9,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6,0
4.7,0
4.8,0
4.9,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
6.6,0
6.7,0
6.8,0
6.9,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
7.6,0
7.7,0
7.8,0
7.9,0
8,0
8.1,0
8.2,0
8.3,0
8.4,0
8.5,0
8.6,0
8.7,0
8.8,0
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
9.9,0
10,0
10.1,0
10.2,0
10.3,0
10.4,0
10.5,0
10.6,0
10.7,0
10.8,0
10.9,0
11,0
11.1,0
11.2,0
11.3,0
11.4,0
11.5,0
11.6,0
11.7,0
11.8,0
11.9,0
12,0
12.1,0
12.2,0
12.3,0
12.4,0
12.5,0
12.6,0
12.7,7.68E-05
12.8,0.000164216
12.9,0.000342435
13,0.000696073
13.1,0.00137894
13.2,0.00266154
13.3,0.00500361
13.4,0.00915886
13.5,0.0163166
13.6,0.0282781
13.7,0.0476509
13.8,0.0780246
13.9,0.124061
14,0.1914
14.1,0.286266
14.2,0.414645
14.3,0.580978
14.4,0.786404
14.5,1.02678
14.6,1.29095
14.7,1.55991
14.8,1.8076
14.9,2.00407
15,2.12097
15.1,2.13873
15.2,2.0539
15.3,1.88407
15.4,1.6677
15.5,1.45741
15.6,1.30664
15.7,1.2531
15.8,1.30404
15.9,1.43015
16,1.5723
16.1,1.66147
16.2,1.64584
16.3,1.51436
16.4,1.30511
16.5,1.09188
16.6,0.951824
16.7,0.927542
16.8,1.00243
16.9,1.10431
17,1.13917
17.1,1.04041
17.2,0.807544
17.3,0.510994
17.4,0.256884
17.5,0.12919
17.6,0.142757
17.7,0.237226
17.8,0.318336
17.9,0.322097
18,0.259495
18.1,0.208978
18.2,0.258066
18.3,0.432502
18.4,0.664564
18.5,0.82855
18.6,0.82409
18.7,0.649964
18.8,0.412651
18.9,0.258325
19,0.274037
19.1,0.430034
19.2,0.60699
19.3,0.687781
19.4,0.642466
19.5,0.539974
19.6,0.479592
19.7,0.502316
19.8,0.559312
19.9,0.564771
20,0.484395
20.1,0.375992
20.2,0.339893
20.3,0.420901
20.4,0.554081
20.5,0.612803
20.6,0.523759
20.7,0.344923
20.8,99
20.9,99
21,99
21.1,99
21.2,99
21.3,99
21.4,99
21.5,99
21.6,99
21.7,99
21.8,99
21.9,99
22,99
22.1,99
22.2,99
22.3,99
22.4,99
22.5,99
22.6,99
22.7,99
22.8,99
22.9,99
23,99
23.1,99
23.2,99
23.3,99
23.4,99
23.5,99
23.6,99
23.7,99
23.8,99
23.9,99
24,99
24.1,99
24.2,99
24.3,99
24.4,99
24.5,99
24.6,99
24.7,99
24.8,99
24.9,99
25,99
