time,urs_n
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,0
3.8,0
3.9,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6,0
4.7,0
4.8,0
4.9,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
6.6,0
6.7,0
6.8,0
6.9,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
7.6,0
7.7,0
7.8,0
7.9,0
8,0
8.1,0
8.2,0
8.3,0
8.4,0
8.5,0
8.6,0
8.7,0
8.8,0
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
9.9,0
10,9.29E-09
10.1,2.80E-08
10.2,8.33E-08
10.3,2.34E-07
10.4,6.27E-07
10.5,1.63E-06
10.6,4.12E-06
10.7,1.00E-05
10.8,2.36E-05
10.9,5.36E-05
11,0.000117576
11.1,0.000248874
11.2,0.00050837
11.3,0.00100181
11.4,0.00190541
11.5,0.00349412
11.6,0.00617696
11.7,0.0105214
11.8,0.0172586
11.9,0.0272563
12,0.0414239
12.1,0.0605482
12.2,0.0850802
12.3,0.114904
12.4,0.149151
12.5,0.18616
12.6,0.223668
12.7,0.259244
12.8,0.290885
12.9,0.317596
13,0.339735
13.1,0.358882
13.2,0.377219
13.3,0.396604
13.4,0.417732
13.5,0.439816
13.6,0.461027
13.7,0.479541
13.8,0.494597
13.9,0.50698
14,0.518534
14.1,0.530933
14.2,0.544447
14.3,0.557578
14.4,0.567859
14.5,0.573322
14.6,0.573659
14.7,0.570196
14.8,0.564705
14.9,0.558018
15,0.549678
15.1,0.538996
15.2,0.52667
15.3,0.515501
15.4,0.509318
15.5,0.510663
15.6,0.518975
15.7,0.53075
15.8,0.5416
15.9,0.54859
16,0.55115
16.1,0.550256
16.2,0.547112
16.3,0.542837
16.4,0.539219
16.5,0.539062
16.6,0.544835
16.7,0.556301
16.8,0.569453
16.9,0.578508
17,0.58001
17.1,0.575711
17.2,0.571442
17.3,0.572666
17.4,0.580396
17.5,0.590837
17.6,0.59868
17.7,0.60089
17.8,0.597928
17.9,0.592274
18,0.586434
18.1,99
18.2,99
18.3,99
18.4,99
18.5,99
18.6,99
18.7,99
18.8,99
18.9,99
19,99
19.1,99
19.2,99
19.3,99
19.4,99
19.5,99
19.6,99
19.7,99
19.8,99
19.9,99
20,99
20.1,99
20.2,99
20.3,99
20.4,99
20.5,99
20.6,99
20.7,99
20.8,99
20.9,99
21,99
21.1,99
21.2,99
21.3,99
21.4,99
21.5,99
21.6,99
21.7,99
21.8,99
21.9,99
22,99
22.1,99
22.2,99
22.3,99
22.4,99
22.5,99
22.6,99
22.7,99
22.8,99
22.9,99
23,99
23.1,99
23.2,99
23.3,99
23.4,99
23.5,99
23.6,99
23.7,99
23.8,99
23.9,99
24,99
24.1,99
24.2,99
24.3,99
24.4,99
24.5,99
24.6,99
24.7,99
24.8,99
24.9,99
25,99
