t,urs_stage
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,0
3.8,0
3.9,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6,0
4.7,0
4.8,0
4.9,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
6.6,0
6.7,0
6.8,0
6.9,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
7.6,0
7.7,0
7.8,0
7.9,0
8,0
8.1,0
8.2,0
8.3,0
8.4,0
8.5,0
8.6,0
8.7,0
8.8,0
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
9.9,0
10,0
10.1,0
10.2,0
10.3,0
10.4,0
10.5,0
10.6,0
10.7,0
10.8,0
10.9,0
11,0
11.1,0
11.2,0
11.3,0
11.4,0
11.5,0
11.6,0
11.7,0
11.8,0
11.9,0
12,0
12.1,0
12.2,0
12.3,0
12.4,0
12.5,0
12.6,0
12.7,0
12.8,0
12.9,0
13,0.00169524
13.1,0.00329881
13.2,0.00625184
13.3,0.0115353
13.4,0.020713
13.5,0.0361788
13.6,0.061437
13.7,0.10137
13.8,0.162402
13.9,0.252427
14,0.380321
14.1,0.554859
14.2,0.782911
14.3,1.06694
14.4,1.40205
14.5,1.77326
14.6,2.15386
14.7,2.50612
14.8,2.7852
14.9,2.94681
15,2.95789
15.1,2.80796
15.2,2.51779
15.3,2.14135
15.4,1.75775
15.5,1.45303
15.6,1.29519
15.7,1.31015
15.8,1.46832
15.9,1.68959
16,1.86907
16.1,1.91656
16.2,1.79511
16.3,1.54067
16.4,1.25057
16.5,1.04143
16.6,0.993176
16.7,1.106
16.8,1.2949
16.9,1.42929
17,1.401
17.1,1.1851
17.2,0.857247
17.3,0.553119
17.4,0.389428
17.5,0.392685
17.6,0.482109
17.7,0.522446
17.8,0.417112
17.9,0.181305
18,-0.0577149
18.1,-0.14009
18.2,0.0167643
18.3,0.353834
18.4,0.701328
18.5,0.888337
18.6,0.855478
18.7,0.687856
18.8,0.54219
18.9,0.522839
19,0.604183
19.1,0.663177
19.2,0.59702
19.3,0.426976
19.4,0.294808
19.5,0.345637
19.6,0.591697
19.7,0.877805
19.8,0.990874
19.9,0.831876
20,0.506037
20.1,0.247255
20.2,0.232191
20.3,0.438915
20.4,0.671894
20.5,0.732036
20.6,0.582033
20.7,0.361833
20.8,0.246812
20.9,0.286469
21,0.376524
21.1,99
21.2,99
21.3,99
21.4,99
21.5,99
21.6,99
21.7,99
21.8,99
21.9,99
22,99
22.1,99
22.2,99
22.3,99
22.4,99
22.5,99
22.6,99
22.7,99
22.8,99
22.9,99
23,99
23.1,99
23.2,99
23.3,99
23.4,99
23.5,99
23.6,99
23.7,99
23.8,99
23.9,99
24,99
24.1,99
24.2,99
24.3,99
24.4,99
24.5,99
24.6,99
24.7,99
24.8,99
24.9,99
25,99
