time,urs_e
0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,0
3.8,0
3.9,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6,0
4.7,0
4.8,0
4.9,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0
6,0
6.1,0
6.2,0
6.3,0
6.4,0
6.5,0
6.6,0
6.7,0
6.8,0
6.9,0
7,0
7.1,0
7.2,0
7.3,0
7.4,0
7.5,0
7.6,0
7.7,0
7.8,0
7.9,0
8,0
8.1,0
8.2,0
8.3,0
8.4,0
8.5,0
8.6,0
8.7,0
8.8,0
8.9,0
9,0
9.1,0
9.2,0
9.3,0
9.4,0
9.5,0
9.6,0
9.7,0
9.8,0
9.9,0
10,0
10.1,0
10.2,0
10.3,0
10.4,0
10.5,0
10.6,0
10.7,0
10.8,0
10.9,0
11,0
11.1,0
11.2,0
11.3,0
11.4,0
11.5,0
11.6,0
11.7,0
11.8,0
11.9,0
12,0
12.1,0
12.2,0
12.3,0
12.4,2.62E-05
12.5,6.04E-05
12.6,0.000135882
12.7,0.000451649
12.8,0.000966099
12.9,0.00201484
13,0.00518782
13.1,0.0102789
13.2,0.0198429
13.3,0.0373094
13.4,0.0683022
13.5,0.121696
13.6,0.21093
13.7,0.355461
13.8,0.582068
13.9,0.925515
14,1.42784
14.1,2.13536
14.2,3.09253
14.3,4.33206
14.4,5.86178
14.5,7.6497
14.6,9.61101
14.7,11.6018
14.8,13.4251
14.9,14.8547
15,15.6761
15.1,15.7413
15.2,15.0235
15.3,13.6546
15.4,11.9246
15.5,10.2305
15.6,8.97776
15.7,8.4542
15.8,8.72055
15.9,9.56312
16,10.5443
16.1,11.1512
16.2,10.9988
16.3,10.006
16.4,8.45836
16.5,6.90764
16.6,5.92901
16.7,5.83781
16.8,6.5059
16.9,7.39012
17,7.78636
17.1,7.19703
17.2,5.61737
17.3,3.5661
17.4,1.81657
17.5,0.962922
17.6,1.07488
17.7,1.66661
17.8,2.02334
17.9,1.69506
18,0.832331
18.1,0.115729
18.2,0.29239
18.3,1.61658
18.4,3.5917
18.5,5.23036
18.6,5.68796
18.7,4.83603
18.8,3.35283
18.9,2.24381
19,2.13193
19.1,2.84927
19.2,3.64407
19.3,3.83549
19.4,3.37973
19.5,2.87161
19.6,2.97354
19.7,3.76445
19.8,4.59904
19.9,4.64341
20,3.64702
20.1,2.25566
20.2,1.53186
20.3,2.04922
20.4,3.35014
20.5,99
20.6,99
20.7,99
20.8,99
20.9,99
21,99
21.1,99
21.2,99
21.3,99
21.4,99
21.5,99
21.6,99
21.7,99
21.8,99
21.9,99
22,99
22.1,99
22.2,99
22.3,99
22.4,99
22.5,99
22.6,99
22.7,99
22.8,99
22.9,99
23,99
23.1,99
23.2,99
23.3,99
23.4,99
23.5,99
23.6,99
23.7,99
23.8,99
23.9,99
24,99
24.1,99
24.2,99
24.3,99
24.4,99
24.5,99
24.6,99
24.7,99
24.8,99
24.9,99
25,99
